master_set,card_num,player,team,variations
,1,Jeremy Swayman,Bruins,VIEW DETAILS
,2,Bryan Rust,Penguins,VIEW DETAILS
,3,Matthew Tkachuk,Panthers,VIEW DETAILS
,4,Jacob Markstrom,Devils,VIEW DETAILS
,5,Matty Beniers,Kraken,VIEW DETAILS
,6,Dylan Larkin,Red Wings,VIEW DETAILS
,7,Juuse Saros,Predators,VIEW DETAILS
,8,Nikita Kucherov,Lightning,VIEW DETAILS
,9,Anze Kopitar,Kings,VIEW DETAILS
,10,Jack Eichel,Golden Knights,VIEW DETAILS
,11,Adam Fantilli,Blue Jackets,VIEW DETAILS
,12,Kirill Kaprizov,Wild,VIEW DETAILS
,13,Jordan Binnington,Blues,VIEW DETAILS
,14,Leon Draisaitl,Oilers,VIEW DETAILS
,15,Travis Konecny,Flyers,VIEW DETAILS
,16,Logan Cooley,Hockey Club,VIEW DETAILS
,17,Sergei Bobrovsky,Panthers,VIEW DETAILS
,18,Josh Morrissey,Jets,VIEW DETAILS
,19,Troy Terry,Ducks,VIEW DETAILS
,20,Sebastian Aho,Hurricanes,VIEW DETAILS
,21,Brock Nelson,Islanders,VIEW DETAILS
,22,Michael Bunting,Penguins,VIEW DETAILS
,23,Mason McTavish,Ducks,VIEW DETAILS
,24,Elias Pettersson,Canucks,VIEW DETAILS
,25,Owen Power,Sabres,VIEW DETAILS
,26,Steven Stamkos,Predators,VIEW DETAILS
,27,Artemi Panarin,Rangers,VIEW DETAILS
,28,Kyle Connor,Jets,VIEW DETAILS
,29,Nathan MacKinnon,Avalanche,VIEW DETAILS
,30,Leo Carlsson,Ducks,VIEW DETAILS
,31,Juraj Slafkovsky,Canadiens,VIEW DETAILS
,32,Tyler Toffoli,Sharks,VIEW DETAILS
,33,Alex DeBrincat,Red Wings,VIEW DETAILS
,34,Auston Matthews,Maple Leafs,VIEW DETAILS
,35,Matt Boldy,Wild,VIEW DETAILS
,36,Alex Ovechkin,Capitals,VIEW DETAILS
,37,Andrei Svechnikov,Hurricanes,VIEW DETAILS
,38,Kent Johnson,Blue Jackets,VIEW DETAILS
,39,Brady Tkachuk,Senators,VIEW DETAILS
,40,William Karlsson,Golden Knights,VIEW DETAILS
,41,Jason Robertson,Stars,VIEW DETAILS
,42,Andrei Vasilevskiy,Lightning,VIEW DETAILS
,43,Aleksander Barkov,Panthers,VIEW DETAILS
,44,Nico Hischier,Devils,VIEW DETAILS
,45,Clayton Keller,Hockey Club,VIEW DETAILS
,46,Cale Makar,Avalanche,VIEW DETAILS
,47,Bo Horvat,Islanders,VIEW DETAILS
,48,Jake Guentzel,Lightning,VIEW DETAILS
,49,Connor McDavid,Oilers,VIEW DETAILS
,50,Roman Josi,Predators,VIEW DETAILS
,51,Jared McCann,Kraken,VIEW DETAILS
,52,MacKenzie Weegar,Flames,VIEW DETAILS
,53,Wyatt Johnston,Stars,VIEW DETAILS
,54,Quinn Hughes,Canucks,VIEW DETAILS
,55,Petr Mrazek,Blackhawks,VIEW DETAILS
,56,John Carlson,Capitals,VIEW DETAILS
,57,Brock Faber,Wild,VIEW DETAILS
,58,Travis Sanheim,Flyers,VIEW DETAILS
,59,Kirill Marchenko,Blue Jackets,VIEW DETAILS
,60,Mark Stone,Golden Knights,VIEW DETAILS
,61,Kevin Fiala,Kings,VIEW DETAILS
,62,Jordan Kyrou,Blues,VIEW DETAILS
,63,Brad Marchand,Bruins,VIEW DETAILS
,64,Brock Boeser,Canucks,VIEW DETAILS
,65,Evan Bouchard,Oilers,VIEW DETAILS
,66,Alexis Lafreniere,Rangers,VIEW DETAILS
,67,Mitch Marner,Maple Leafs,VIEW DETAILS
,68,Nazem Kadri,Flames,VIEW DETAILS
,69,Fabian Zetterlund,Sharks,VIEW DETAILS
,70,Nick Suzuki,Canadiens,VIEW DETAILS
,71,William Eklund,Sharks,VIEW DETAILS
,72,Tage Thompson,Sabres,VIEW DETAILS
,73,Pierre-Luc Dubois,Capitals,VIEW DETAILS
,74,Jaccob Slavin,Hurricanes,VIEW DETAILS
,75,Mathew Barzal,Islanders,VIEW DETAILS
,76,Tim Stutzle,Senators,VIEW DETAILS
,77,Zach Hyman,Oilers,VIEW DETAILS
,78,Thatcher Demko,Canucks,VIEW DETAILS
,79,JJ Peterka,Sabres,VIEW DETAILS
,80,Igor Shesterkin,Rangers,VIEW DETAILS
,81,Robert Thomas,Blues,VIEW DETAILS
,82,Devon Toews,Avalanche,VIEW DETAILS
,83,Cole Caufield,Canadiens,VIEW DETAILS
,84,William Nylander,Maple Leafs,VIEW DETAILS
,85,Jake Oettinger,Stars,VIEW DETAILS
,86,Jack Hughes,Devils,VIEW DETAILS
,87,Sidney Crosby,Penguins,VIEW DETAILS
,88,David Pastrnak,Bruins,VIEW DETAILS
,89,Connor Hellebuyck,Jets,VIEW DETAILS
,90,Connor Bedard,Blackhawks,VIEW DETAILS
,91,Ed Belfour,Stars,VIEW DETAILS
,92,Mark Messier,Rangers,VIEW DETAILS
,93,Guy Lafleur,Canadiens,VIEW DETAILS
,94,Al MacInnis,Flames,VIEW DETAILS
,95,Gordie Howe,Red Wings,VIEW DETAILS
,96,Bobby Orr,Bruins,VIEW DETAILS
,97,Steve Yzerman,Red Wings,VIEW DETAILS
,98,Doug Gilmour,Maple Leafs,VIEW DETAILS
,99,Wayne Gretzky,Rangers,VIEW DETAILS
,100,Joe Thornton,Sharks,VIEW DETAILS
,101,Macklin Celebrini,Sharks,VIEW DETAILS
,102,Logan Morrison,Kraken,VIEW DETAILS
,103,Bradly Nadeau,Hurricanes,VIEW DETAILS
,104,Shakir Mukhamadullin,Sharks,VIEW DETAILS
,105,Matvei Michkov,Flyers,VIEW DETAILS
,106,Jesper Wallstedt,Wild,VIEW DETAILS
,107,Frank Nazar,Blackhawks,VIEW DETAILS
,108,Phil Kemp,Oilers,VIEW DETAILS
,109,Ivan Fedotov,Flyers,VIEW DETAILS
,110,Rutger McGroarty,Penguins,VIEW DETAILS
,111,Josh Doan,Hockey Club,VIEW DETAILS
,112,Matt Rempe,Rangers,VIEW DETAILS
,113,Cutter Gauthier,Ducks,VIEW DETAILS
,114,Joshua Roy,Canadiens,VIEW DETAILS
,115,Scott Morrow,Hurricanes,VIEW DETAILS
,116,Lukas Cormier,Golden Knights,VIEW DETAILS
,117,Will Smith,Sharks,VIEW DETAILS
,118,Logan Stankoven,Stars,VIEW DETAILS
,119,Logan Mailloux,Canadiens,VIEW DETAILS
,120,Collin Graf,Sharks,VIEW DETAILS
,121,Olen Zellweger,Ducks,VIEW DETAILS
,122,Conor Geekie,Lightning,VIEW DETAILS
,123,Brennan Othmann,Rangers,VIEW DETAILS
,124,Liam Ohgren,Wild,VIEW DETAILS
,125,Andre Lee,Kings,VIEW DETAILS
,126,Brad Lambert,Jets,VIEW DETAILS
,127,Zach Dean,Blues,VIEW DETAILS
,128,Brendan Brisson,Golden Knights,VIEW DETAILS
,129,Samuel Honzek,Flames,VIEW DETAILS
,130,Declan Carlile,Lightning,VIEW DETAILS
,131,Lane Hutson,Canadiens,VIEW DETAILS
,132,Ethan Cardwell,Sharks,VIEW DETAILS
,133,Oliver Kapanen,Canadiens,VIEW DETAILS
,134,Zack Ostapchuk,Senators,VIEW DETAILS
,135,Sam Colangelo,Ducks,VIEW DETAILS
,136,Seamus Casey,Devils,VIEW DETAILS
,137,Mavrik Bourque,Stars,VIEW DETAILS
,138,Justin Brazeau,Bruins,VIEW DETAILS
,139,Gavin Brindley,Blue Jackets,VIEW DETAILS
,140,Zachary Bolduc,Blues,VIEW DETAILS
,141,Marat Khusnutdinov,Wild,VIEW DETAILS
,142,Jett Luchanko,Flyers,VIEW DETAILS
,143,Jack Thompson,Sharks,VIEW DETAILS
,144,Luca Del Bel Belluz,Blue Jackets,VIEW DETAILS
,145,Akil Thomas,Kings,VIEW DETAILS
,146,Jason Polin,Avalanche,VIEW DETAILS
,147,Joel Blomqvist,Penguins,VIEW DETAILS
,148,Ethan Del Mastro,Blackhawks,VIEW DETAILS
,149,Arshdeep Bains,Canucks,VIEW DETAILS
,150,Jackson Blake,Hurricanes,VIEW DETAILS
,AV-AD,Alex DeBrincat,Red Wings,VIEW DETAILS
,AV-AO,Alex Ovechkin,Capitals,VIEW DETAILS
,AV-AV,Andrei Vasilevskiy,Lightning,VIEW DETAILS
,AV-BM,Brad Marchand,Bruins,VIEW DETAILS
,AV-CB,Connor Bedard,Blackhawks,VIEW DETAILS
,AV-CH,Connor Hellebuyck,Jets,VIEW DETAILS
,AV-CL,Charlie Lindgren,Capitals,VIEW DETAILS
,AV-CV,Carter Verhaeghe,Panthers,VIEW DETAILS
,AV-DW,Dustin Wolf,Flames,VIEW DETAILS
,AV-FV,Frank Vatrano,Ducks,VIEW DETAILS
,AV-GU,Jake Guentzel,Lightning,VIEW DETAILS
,AV-JD,Joey Daccord,Kraken,VIEW DETAILS
,AV-JE,Jack Eichel,Golden Knights,VIEW DETAILS
,AV-JN,Jake Neighbours,Blues,VIEW DETAILS
,AV-LE,Anders Lee,Islanders,VIEW DETAILS
,AV-LH,Luke Hughes,Devils,VIEW DETAILS
,AV-MC,Connor McDavid,Oilers,VIEW DETAILS
,AV-MI,Casey Mittelstadt,Avalanche,VIEW DETAILS
,AV-MK,Matthew Knies,Maple Leafs,VIEW DETAILS
,AV-MO,Brandon Montour,Kraken,VIEW DETAILS
,AV-MZ,Mats Zuccarello,Wild,VIEW DETAILS
,AV-NS,Nick Suzuki,Canadiens,VIEW DETAILS
,AV-SR,Sam Reinhart,Panthers,VIEW DETAILS
,AV-WJ,Wyatt Johnston,Stars,VIEW DETAILS
,AR-AB,Arshdeep Bains,Canucks,VIEW DETAILS
,AR-AL,Andre Lee,Kings,VIEW DETAILS
,AR-BB,Brendan Brisson,Golden Knights,VIEW DETAILS
,AR-BL,Joel Blomqvist,Penguins,VIEW DETAILS
,AR-BN,Bradly Nadeau,Hurricanes,VIEW DETAILS
,AR-BO,Brennan Othmann,Rangers,VIEW DETAILS
,AR-BR,Justin Brazeau,Bruins,VIEW DETAILS
,AR-CA,Seamus Casey,Devils,VIEW DETAILS
,AR-CG,Cutter Gauthier,Ducks,VIEW DETAILS
,AR-CO,Devin Cooley,Sharks,VIEW DETAILS
,AR-CR,Calum Ritchie,Avalanche,VIEW DETAILS
,AR-DC,Declan Carlile,Lightning,VIEW DETAILS
,AR-EL,Emil Lilleberg,Lightning,VIEW DETAILS
,AR-FN,Frank Nazar,Blackhawks,VIEW DETAILS
,AR-FS,Fedor Svechkov,Predators,VIEW DETAILS
,AR-GC,Graeme Clarke,Devils,VIEW DETAILS
,AR-GE,Conor Geekie,Lightning,VIEW DETAILS
,AR-GG,Gage Goncalves,Lightning,VIEW DETAILS
,AR-GR,Collin Graf,Sharks,VIEW DETAILS
,AR-HE,Samuel Helenius,Kings,VIEW DETAILS
,AR-JB,Jackson Blake,Hurricanes,VIEW DETAILS
,AR-JL,Jett Luchanko,Flyers,VIEW DETAILS
,AR-JP,Jason Polin,Avalanche,VIEW DETAILS
,AR-JR,Joshua Roy,Canadiens,VIEW DETAILS
,AR-JT,Jack Thompson,Sharks,VIEW DETAILS
,AR-KM,Kyle MacLean,Islanders,VIEW DETAILS
,AR-LC,Lukas Cormier,Golden Knights,VIEW DETAILS
,AR-LD,Luca Del Bel Belluz,Blue Jackets,VIEW DETAILS
,AR-LE,Jonathan Lekkerimaki,Canucks,VIEW DETAILS
,AR-LH,Lane Hutson,Canadiens,VIEW DETAILS
,AR-LM,Logan Morrison,Kraken,VIEW DETAILS
,AR-LO,Liam Ohgren,Wild,VIEW DETAILS
,AR-LS,Logan Stankoven,Stars,VIEW DETAILS
,AR-MB,Mavrik Bourque,Stars,VIEW DETAILS
,AR-MC,Macklin Celebrini,Sharks,VIEW DETAILS
,AR-MI,Matvei Michkov,Flyers,VIEW DETAILS
,AR-MM,Mason Morelli,Golden Knights,VIEW DETAILS
,AR-MR,Marshall Rifai,Maple Leafs,VIEW DETAILS
,AR-MU,Shakir Mukhamadullin,Sharks,VIEW DETAILS
,AR-NA,Nolan Allan,Blackhawks,VIEW DETAILS
,AR-NK,Nikolai Kovalenko,Avalanche,VIEW DETAILS
,AR-OP,Owen Pickering,Penguins,VIEW DETAILS
,AR-OZ,Olen Zellweger,Ducks,VIEW DETAILS
,AR-PD,Pierrick Dube,Capitals,VIEW DETAILS
,AR-PK,Phil Kemp,Oilers,VIEW DETAILS
,AR-RE,Matt Rempe,Rangers,VIEW DETAILS
,AR-RM,Rutger McGroarty,Penguins,VIEW DETAILS
,AR-SC,Sam Colangelo,Ducks,VIEW DETAILS
,AR-VM,Victor Mancini,Rangers,VIEW DETAILS
,AR-WS,Will Smith,Sharks,VIEW DETAILS
,AR-YK,Yan Kuznetsov,Flames,VIEW DETAILS
,AR-ZD,Zach Dean,Blues,VIEW DETAILS
,AR-ZL,Zachary L'Heureux,Predators,VIEW DETAILS
,AR-ZO,Zack Ostapchuk,Senators,VIEW DETAILS
,AV-AM,Auston Matthews,Maple Leafs,VIEW DETAILS
,AV-EB,Evan Bouchard,Oilers,VIEW DETAILS
,AV-EP,Elias Pettersson,Canucks,VIEW DETAILS
,AV-JH,Jack Hughes,Devils,VIEW DETAILS
,AV-JR,Jason Robertson,Stars,VIEW DETAILS
,AV-LD,Leon Draisaitl,Oilers,VIEW DETAILS
,AV-NK,Nikita Kucherov,Lightning,VIEW DETAILS
,AV-RT,Robert Thomas,Blues,VIEW DETAILS
,AV-SJ,Seth Jarvis,Hurricanes,VIEW DETAILS
,AV-SM,Samuel Montembeault,Canadiens,VIEW DETAILS
,AV-ST,Shea Theodore,Golden Knights,VIEW DETAILS
,AV-TT,Tage Thompson,Sabres,VIEW DETAILS
,AV-WE,William Eklund,Sharks,VIEW DETAILS
,AR-AJ,Albert Johansson,Red Wings,VIEW DETAILS
,AR-AT,Akil Thomas,Kings,VIEW DETAILS
,AR-EC,Ethan Cardwell,Sharks,VIEW DETAILS
,AR-IF,Ivan Fedotov,Flyers,VIEW DETAILS
,AR-JW,Jesper Wallstedt,Wild,VIEW DETAILS
,AR-ZB,Zachary Bolduc,Blues,VIEW DETAILS
,HR-BB,Brendan Brisson,Golden Knights,VIEW DETAILS
,HR-BN,Bradly Nadeau,Hurricanes,VIEW DETAILS
,HR-BO,Brennan Othmann,Rangers,VIEW DETAILS
,HR-CE,Macklin Celebrini,Sharks,VIEW DETAILS
,HR-CG,Cutter Gauthier,Ducks,VIEW DETAILS
,HR-FN,Frank Nazar,Blackhawks,VIEW DETAILS
,HR-GE,Conor Geekie,Lightning,VIEW DETAILS
,HR-JL,Jett Luchanko,Flyers,VIEW DETAILS
,HR-JW,Jesper Wallstedt,Wild,VIEW DETAILS
,HR-LD,Luca Del Bel Belluz,Blue Jackets,VIEW DETAILS
,HR-LE,Jonathan Lekkerimaki,Canucks,VIEW DETAILS
,HR-LH,Lane Hutson,Canadiens,VIEW DETAILS
,HR-LO,Liam Ohgren,Wild,VIEW DETAILS
,HR-LS,Logan Stankoven,Stars,VIEW DETAILS
,HR-MB,Mavrik Bourque,Stars,VIEW DETAILS
,HR-MI,Matvei Michkov,Flyers,VIEW DETAILS
,HR-OZ,Olen Zellweger,Ducks,VIEW DETAILS
,HR-RM,Rutger McGroarty,Penguins,VIEW DETAILS
,HR-SH,Samuel Honzek,Flames,VIEW DETAILS
,HR-SM,Shakir Mukhamadullin,Sharks,VIEW DETAILS
,HR-WS,Will Smith,Sharks,VIEW DETAILS
,HR-ZB,Zachary Bolduc,Blues,VIEW DETAILS
,HR-ZD,Zach Dean,Blues,VIEW DETAILS
,HR-SC,Seamus Casey,Devils,VIEW DETAILS
,PRA-AB,Arshdeep Bains,Canucks,VIEW DETAILS
,PRA-AJ,Albert Johansson,Red Wings,VIEW DETAILS
,PRA-AK,Adam Klapka,Flames,VIEW DETAILS
,PRA-AL,Andre Lee,Kings,VIEW DETAILS
,PRA-BL,Joel Blomqvist,Penguins,VIEW DETAILS
,PRA-BN,Bradly Nadeau,Hurricanes,VIEW DETAILS
,PRA-BO,Brennan Othmann,Rangers,VIEW DETAILS
,PRA-BR,Justin Brazeau,Bruins,VIEW DETAILS
,PRA-CA,Declan Carlile,Lightning,VIEW DETAILS
,PRA-CE,Macklin Celebrini,Sharks,VIEW DETAILS
,PRA-CG,Cutter Gauthier,Ducks,VIEW DETAILS
,PRA-CR,Calum Ritchie,Avalanche,VIEW DETAILS
,PRA-DC,Devin Cooley,Sharks,VIEW DETAILS
,PRA-EL,Emil Lilleberg,Lightning,VIEW DETAILS
,PRA-FN,Frank Nazar,Blackhawks,VIEW DETAILS
,PRA-FS,Fedor Svechkov,Predators,VIEW DETAILS
,PRA-GC,Graeme Clarke,Devils,VIEW DETAILS
,PRA-GE,Conor Geekie,Lightning,VIEW DETAILS
,PRA-GG,Gage Goncalves,Lightning,VIEW DETAILS
,PRA-GR,Collin Graf,Sharks,VIEW DETAILS
,PRA-JB,Jackson Blake,Hurricanes,VIEW DETAILS
,PRA-JL,Jett Luchanko,Flyers,VIEW DETAILS
,PRA-JP,Jason Polin,Avalanche,VIEW DETAILS
,PRA-JR,Joshua Roy,Canadiens,VIEW DETAILS
,PRA-JT,Jack Thompson,Sharks,VIEW DETAILS
,PRA-JW,Jesper Wallstedt,Wild,VIEW DETAILS
,PRA-KM,Kyle MacLean,Islanders,VIEW DETAILS
,PRA-LC,Lukas Cormier,Golden Knights,VIEW DETAILS
,PRA-LD,Luca Del Bel Belluz,Blue Jackets,VIEW DETAILS
,PRA-LE,Jonathan Lekkerimaki,Canucks,VIEW DETAILS
,PRA-LH,Lane Hutson,Canadiens,VIEW DETAILS
,PRA-LM,Logan Morrison,Kraken,VIEW DETAILS
,PRA-LO,Liam Ohgren,Wild,VIEW DETAILS
,PRA-LS,Logan Stankoven,Stars,VIEW DETAILS
,PRA-MA,Logan Mailloux,Canadiens,VIEW DETAILS
,PRA-MB,Mavrik Bourque,Stars,VIEW DETAILS
,PRA-MI,Matvei Michkov,Flyers,VIEW DETAILS
,PRA-MM,Mason Morelli,Golden Knights,VIEW DETAILS
,PRA-MR,Marshall Rifai,Maple Leafs,VIEW DETAILS
,PRA-MU,Shakir Mukhamadullin,Sharks,VIEW DETAILS
,PRA-MV,Matt Villalta,Hockey Club,VIEW DETAILS
,PRA-NA,Nolan Allan,Blackhawks,VIEW DETAILS
,PRA-NC,Nikita Chibrikov,Jets,VIEW DETAILS
,PRA-NK,Nikolai Kovalenko,Avalanche,VIEW DETAILS
,PRA-OZ,Olen Zellweger,Ducks,VIEW DETAILS
,PRA-PD,Pierrick Dube,Capitals,VIEW DETAILS
,PRA-PK,Phil Kemp,Oilers,VIEW DETAILS
,PRA-RM,Rutger McGroarty,Penguins,VIEW DETAILS
,PRA-SC,Sam Colangelo,Ducks,VIEW DETAILS
,PRA-SE,Seamus Casey,Devils,VIEW DETAILS
,PRA-SH,Samuel Honzek,Flames,VIEW DETAILS
,PRA-VM,Victor Mancini,Rangers,VIEW DETAILS
,PRA-VP,Vasily Ponomarev,Hurricanes,VIEW DETAILS
,PRA-WS,Will Smith,Sharks,VIEW DETAILS
,PRA-YK,Yan Kuznetsov,Flames,VIEW DETAILS
,PRA-ZB,Zachary Bolduc,Blues,VIEW DETAILS
,PRA-ZD,Zach Dean,Blues,VIEW DETAILS
,PRA-ZL,Zachary L'Heureux,Predators,VIEW DETAILS
,PRA-ZO,Zack Ostapchuk,Senators,VIEW DETAILS
,PRA-AT,Akil Thomas,Kings,VIEW DETAILS
,PRA-IF,Ivan Fedotov,Flyers,VIEW DETAILS
,PRA-MK,Marat Khusnutdinov,Wild,VIEW DETAILS
,PRA-SM,Scott Morrow,Hurricanes,VIEW DETAILS
,PRA-JD,Josh Doan,Hockey Club,VIEW DETAILS
,FO-AB,Arshdeep Bains,Canucks,VIEW DETAILS
,FO-AR,Aku Raty,Hockey Club,VIEW DETAILS
,FO-AT,Akil Thomas,Kings,VIEW DETAILS
,FO-BL,Jackson Blake,Hurricanes,VIEW DETAILS
,FO-ED,Ethan Del Mastro,Blackhawks,VIEW DETAILS
,FO-EL,Emil Lilleberg,Lightning,VIEW DETAILS
,FO-GC,Graeme Clarke,Devils,VIEW DETAILS
,FO-GG,Gage Goncalves,Lightning,VIEW DETAILS
,FO-GR,Collin Graf,Sharks,VIEW DETAILS
,FO-IF,Ivan Fedotov,Flyers,VIEW DETAILS
,FO-JB,Justin Brazeau,Bruins,VIEW DETAILS
,FO-JR,Joshua Roy,Canadiens,VIEW DETAILS
,FO-JT,Jack Thompson,Sharks,VIEW DETAILS
,FO-LC,Lukas Cormier,Golden Knights,VIEW DETAILS
,FO-LD,Luca Del Bel Belluz,Blue Jackets,VIEW DETAILS
,FO-LM,Logan Morrison,Kraken,VIEW DETAILS
,FO-MC,Maxwell Crozier,Lightning,VIEW DETAILS
,FO-MK,Marat Khusnutdinov,Wild,VIEW DETAILS
,FO-MM,Mason Morelli,Golden Knights,VIEW DETAILS
,FO-PD,Pierrick Dube,Capitals,VIEW DETAILS
,FO-PK,Phil Kemp,Oilers,VIEW DETAILS
,FO-RI,Marshall Rifai,Maple Leafs,VIEW DETAILS
,FO-SC,Sam Colangelo,Ducks,VIEW DETAILS
,FO-YK,Yan Kuznetsov,Flames,VIEW DETAILS
,FO-ZO,Zack Ostapchuk,Senators,VIEW DETAILS
,FO-BB,Brendan Brisson,Golden Knights,VIEW DETAILS
,FO-BN,Bradly Nadeau,Hurricanes,VIEW DETAILS
,FO-BO,Brennan Othmann,Rangers,VIEW DETAILS
,FO-CA,Seamus Casey,Devils,VIEW DETAILS
,FO-CE,Macklin Celebrini,Sharks,VIEW DETAILS
,FO-CG,Cutter Gauthier,Ducks,VIEW DETAILS
,FO-FN,Frank Nazar,Blackhawks,VIEW DETAILS
,FO-GE,Conor Geekie,Lightning,VIEW DETAILS
,FO-JD,Josh Doan,Hockey Club,VIEW DETAILS
,FO-JL,Jett Luchanko,Flyers,VIEW DETAILS
,FO-JW,Jesper Wallstedt,Wild,VIEW DETAILS
,FO-LH,Lane Hutson,Canadiens,VIEW DETAILS
,FO-LO,Liam Ohgren,Wild,VIEW DETAILS
,FO-LS,Logan Stankoven,Stars,VIEW DETAILS
,FO-MB,Mavrik Bourque,Stars,VIEW DETAILS
,FO-MI,Matvei Michkov,Flyers,VIEW DETAILS
,FO-MO,Scott Morrow,Hurricanes,VIEW DETAILS
,FO-NC,Nikita Chibrikov,Jets,VIEW DETAILS
,FO-OZ,Olen Zellweger,Ducks,VIEW DETAILS
,FO-RM,Rutger McGroarty,Penguins,VIEW DETAILS
,FO-SH,Samuel Honzek,Flames,VIEW DETAILS
,FO-WS,Will Smith,Sharks,VIEW DETAILS
,FO-ZB,Zachary Bolduc,Blues,VIEW DETAILS
,GO-AF,Adam Fox,Rangers,VIEW DETAILS
,GO-AG,Alexandar Georgiev,Avalanche,VIEW DETAILS
,GO-AK,Anze Kopitar,Kings,VIEW DETAILS
,GO-BB,Brent Burns,Hurricanes,VIEW DETAILS
,GO-BH,Bo Horvat,Islanders,VIEW DETAILS
,GO-BP,Brayden Point,Lightning,VIEW DETAILS
,GO-BT,Brady Tkachuk,Senators,VIEW DETAILS
,GO-CC,Cole Caufield,Canadiens,VIEW DETAILS
,GO-CK,Chris Kreider,Rangers,VIEW DETAILS
,GO-CM,Cale Makar,Avalanche,VIEW DETAILS
,GO-DP,David Pastrnak,Bruins,VIEW DETAILS
,GO-FF,Filip Forsberg,Predators,VIEW DETAILS
,GO-HU,Jonathan Huberdeau,Flames,VIEW DETAILS
,GO-JB,Jamie Benn,Stars,VIEW DETAILS
,GO-JE,Jack Eichel,Golden Knights,VIEW DETAILS
,GO-JK,Jordan Kyrou,Blues,VIEW DETAILS
,GO-JM,J.T. Miller,Canucks,VIEW DETAILS
,GO-JO,Jake Oettinger,Stars,VIEW DETAILS
,GO-JT,John Tavares,Maple Leafs,VIEW DETAILS
,GO-LC,Logan Couture,Sharks,VIEW DETAILS
,GO-LD,Leon Draisaitl,Oilers,VIEW DETAILS
,GO-LH,Luke Hughes,Devils,VIEW DETAILS
,GO-LR,Lucas Raymond,Red Wings,VIEW DETAILS
,GO-MF,Marc-Andre Fleury,Wild,VIEW DETAILS
,GO-MO,Josh Morrissey,Jets,VIEW DETAILS
,GO-MR,Morgan Rielly,Maple Leafs,VIEW DETAILS
,GO-MT,Matthew Tkachuk,Panthers,VIEW DETAILS
,GO-NK,Nikita Kucherov,Lightning,VIEW DETAILS
,GO-PG,Philipp Grubauer,Kraken,VIEW DETAILS
,GO-RD,Rasmus Dahlin,Sabres,VIEW DETAILS
,GO-SB,Sergei Bobrovsky,Panthers,VIEW DETAILS
,GO-SC,Sidney Crosby,Penguins,VIEW DETAILS
,GO-TK,Travis Konecny,Flyers,VIEW DETAILS
,GO-TT,Tyler Toffoli,Sharks,VIEW DETAILS
,GO-TZ,Trevor Zegras,Ducks,VIEW DETAILS
,GO-AB,Aleksander Barkov,Panthers,VIEW DETAILS
,GO-AL,Alexis Lafreniere,Rangers,VIEW DETAILS
,GO-AM,Auston Matthews,Maple Leafs,VIEW DETAILS
,GO-AO,Alex Ovechkin,Capitals,VIEW DETAILS
,GO-CB,Connor Bedard,Blackhawks,VIEW DETAILS
,GO-JG,Jake Guentzel,Lightning,VIEW DETAILS
,GO-JH,Jack Hughes,Devils,VIEW DETAILS
,GO-JR,Jason Robertson,Stars,VIEW DETAILS
,GO-KK,Kirill Kaprizov,Wild,VIEW DETAILS
,GO-MC,Connor McDavid,Oilers,VIEW DETAILS
,GO-QH,Quinn Hughes,Canucks,VIEW DETAILS
,GO-RT,Robert Thomas,Blues,VIEW DETAILS
,OS-BP,Brian Propp,Flyers,VIEW DETAILS
,OS-CS,Charlie Simmer,Kings,VIEW DETAILS
,OS-DB,David Backes,Blues,VIEW DETAILS
,OS-FP,Felix Potvin,Maple Leafs,VIEW DETAILS
,OS-GA,Mike Gartner,Capitals,VIEW DETAILS
,OS-JI,Jarome Iginla,Flames,VIEW DETAILS
,OS-JK,Jari Kurri,Oilers,VIEW DETAILS
,OS-JL,John LeClair,Flyers,VIEW DETAILS
,OS-JP,Joe Pavelski,Sharks,VIEW DETAILS
,OS-JR,Jeremy Roenick,Blackhawks,VIEW DETAILS
,OS-LM,Lanny McDonald,Flames,VIEW DETAILS
,OS-MB,Martin Brodeur,Devils,VIEW DETAILS
,OS-MG,Michel Goulet,Nordiques,VIEW DETAILS
,OS-MM,Mark Messier,Rangers,VIEW DETAILS
,OS-MO,Mike Modano,Stars,VIEW DETAILS
,OS-MS,Martin St. Louis,Lightning,VIEW DETAILS
,OS-ON,Owen Nolan,Nordiques,VIEW DETAILS
,OS-PH,Phil Housley,Sabres,VIEW DETAILS
,OS-TL,Trevor Linden,Canucks,VIEW DETAILS
,OS-TW,Tiger Williams,Maple Leafs,VIEW DETAILS
,OS-VD,Vincent Damphousse,Canadiens,VIEW DETAILS
,OS-WG,Wayne Gretzky,Oilers,VIEW DETAILS
,PMP-AD,Alex DeBrincat,Red Wings,VIEW DETAILS
,PMP-AF,Adam Fantilli,Blue Jackets,VIEW DETAILS
,PMP-AM,Auston Matthews,Maple Leafs,VIEW DETAILS
,PMP-AO,Alex Ovechkin,Capitals,VIEW DETAILS
,PMP-AP,Artemi Panarin,Rangers,VIEW DETAILS
,PMP-BB,Brent Burns,Hurricanes,VIEW DETAILS
,PMP-BC,Brandt Clarke,Kings,VIEW DETAILS
,PMP-BE,Sam Bennett,Panthers,VIEW DETAILS
,PMP-BF,Brock Faber,Wild,VIEW DETAILS
,PMP-BH,Bo Horvat,Islanders,VIEW DETAILS
,PMP-BM,Brad Marchand,Bruins,VIEW DETAILS
,PMP-BO,Matt Boldy,Wild,VIEW DETAILS
